,Unnamed: 0,Unnamed: 0.1,num_not_judged,prob_not_judged,n,N,n/N
0,0,0.0,0,0.0,1.0,2.0,0.5
1,1,1.0,1,0.0067567567567567,1.0,2.0,0.5
2,2,2.0,0,0.0,0.0,1.0,0.0
3,3,3.0,0,0.0,0.0,1.0,0.0
4,4,4.0,0,0.0,0.0,3.0,0.0
5,5,5.0,0,0.0,0.0,3.0,0.0
6,6,6.0,0,0.0,0.0,1.0,0.0
7,7,7.0,0,0.0,0.0,1.0,0.0
8,8,8.0,0,0.0,0.0,1.0,0.0
9,9,9.0,0,0.0,0.0,1.0,0.0
10,10,10.0,2,0.0303030303030303,0.0,1.0,0.0
11,11,11.0,0,0.0,1.0,1.0,1.0
12,12,12.0,0,0.0,1.0,1.0,1.0
13,13,13.0,0,0.0,0.0,1.0,0.0
14,14,14.0,0,0.0,0.0,1.0,0.0
15,15,15.0,0,0.0,0.0,1.0,0.0
16,16,16.0,13,0.2063492063492063,0.0,1.0,0.0
17,17,17.0,23,0.365079365079365,0.0,1.0,0.0
18,18,18.0,0,0.0,0.0,1.0,0.0
19,19,19.0,0,0.0,0.0,1.0,0.0
20,20,20.0,0,0.0,0.0,1.0,0.0
21,21,21.0,0,0.0,0.0,1.0,0.0
22,22,22.0,0,0.0,0.0,1.0,0.0
23,23,23.0,0,0.0,0.0,1.0,0.0
24,24,24.0,0,0.0,0.0,1.0,0.0
25,25,25.0,0,0.0,0.0,1.0,0.0
26,26,26.0,1,0.0086206896551724,1.0,2.0,0.5
27,27,27.0,1,0.0086206896551724,0.0,2.0,0.0
28,28,28.0,0,0.0,0.0,0.0,0.0
29,29,29.0,0,0.0,0.0,0.0,0.0
30,30,30.0,0,0.0,0.0,1.0,0.0
31,31,31.0,0,0.0,1.0,2.0,0.5
32,32,32.0,0,0.0,0.0,1.0,0.0
33,33,33.0,0,0.0,0.0,1.0,0.0
34,34,34.0,0,0.0,1.0,3.0,0.3333333333333333
35,35,35.0,0,0.0,0.0,3.0,0.0
36,36,36.0,0,0.0,0.0,2.0,0.0
37,37,37.0,0,0.0,1.0,1.0,1.0
38,38,38.0,0,0.0,0.0,1.0,0.0
39,39,39.0,0,0.0,1.0,1.0,1.0
40,40,40.0,0,0.0,0.0,1.0,0.0
41,41,41.0,0,0.0,0.0,1.0,0.0
