,radius,time,grid_id,num of matched order,total wait time,total reward,driver utilization rate,driver delivery rate,driver pickup rate,total pick up distance,total reward,ratio
0,5,morning,5,3787,211330.0,217114.48898254227,0.4472434901436055,0.317585994064921,0.12965749607868446,17727.810123846368,31148.522224905166,12.24711272660198
1,5,morning,6,2499,149345.0,121525.73749004242,0.2774430923951883,0.1777627662074227,0.09968032618776557,13629.09163900081,14200.486928232183,8.916642481314465
2,5,morning,10,1190,46970.0,39524.276038816424,0.09863002371136236,0.05781445795859889,0.04081556575276346,5580.630674243843,4255.796050696649,7.082403109245683
3,5,morning,7,434,20440.0,30574.435684675598,0.05881899662459276,0.04472300579936172,0.014095990825231035,1927.316633552189,15436.644004921414,15.863732586754374
4,5,morning,1,1449,101395.0,87940.52881583905,0.17247296010065113,0.12863572759908576,0.04383723250156536,5993.777125474029,22097.852701561387,14.671971775874816
5,5,morning,3,329,25865.0,34650.75968920319,0.05581887368950741,0.050685682068344735,0.005133191621162676,701.8510239783303,32923.41875869631,49.37053378192839
6,5,morning,2,168,9870.0,8575.575077084917,0.01865293780301271,0.012543992564924408,0.006108945238088303,835.2638645133375,891.9950502057784,10.266905395316527
7,5,morning,9,483,31640.0,20458.18501291645,0.054569699678838304,0.02992537741050322,0.024644322268335083,3369.568895104919,2182.7022618612586,6.071454731979723
8,5,morning,14,28,490.0,2154.1844288520206,0.004146889824224345,0.0031510508876777554,0.0009958389365465892,136.15906611614204,164.1370272647693,15.821086985236276
9,5,morning,11,7,35.0,15.069136458840823,0.0004345025849352432,2.20425025727588e-05,0.0004124600823624844,56.39484214125777,0.707618494825979,0.2672077070646932
10,10,morning,5,3504,149790.0,187016.59572404766,0.4627737148169708,0.2735600545960553,0.18921366022091546,25870.80533468533,23677.344769216306,7.228866411565164
11,10,morning,6,1896,81000.0,94436.47115898988,0.2604721004154232,0.13813772037766928,0.1223343800377539,16726.535113802016,8138.851395020146,5.645907566419119
12,10,morning,7,348,17790.0,27063.30854259529,0.06821418972096942,0.03958707586243536,0.028627113858534056,3914.1280236496445,1321.1553850378757,6.914262481726565
13,10,morning,10,630,24450.0,26696.13310966325,0.07554854033035625,0.03904998699558722,0.03649855333476904,4990.374200356301,1798.6465797294031,5.349525313704373
14,10,morning,1,1248,69360.0,77873.69261350896,0.16967085177151467,0.11391038062943785,0.055760471142076815,7624.017698313879,7300.513945539507,10.214259160328476
15,10,morning,3,270,15930.0,29204.190611174494,0.052429299892571356,0.04271866861385305,0.009710631278718301,1327.715193476596,41495.24540442317,21.99582467283808
16,10,morning,2,96,3150.0,5631.362091903531,0.014184557298037914,0.008237320946555977,0.005947236351481937,813.1537318654223,333.7885534574989,6.925335113429114
17,10,morning,9,426,17070.0,16829.755118067766,0.06176568031628813,0.02461786191280171,0.03714781840348642,5079.146914671891,914.5976857235556,3.313500357599905
18,10,morning,14,24,150.0,1846.4437961588746,0.004387418142542233,0.0027009007608666475,0.001686517381675585,230.5941485617394,71.88960837072004,8.007331528902638
19,10,morning,11,6,30.0,12.91640267900642,0.00041031064558922004,1.8893573633793258e-05,0.0003914170719554268,53.51767341432159,0.5480399979692814,0.2413483594290541
20,15,morning,5,3045,107700.0,161531.6454024255,0.4258057153011392,0.23628173512729653,0.18952398017384264,25913.234761209158,16774.355455126333,6.2335577511237785
21,15,morning,6,1450,57400.0,72213.4401893474,0.20353092803931802,0.10563080011314034,0.09790012792617767,13385.68869109042,5482.25885368321,5.394824417021817
22,15,morning,7,275,8575.0,23030.806625446938,0.06532265953589916,0.03368850071009149,0.031634158825807675,4325.2752679350315,1567.7368823759036,5.324703099519093
23,15,morning,10,345,16425.0,16929.478453314765,0.04922721911505008,0.02476373303685383,0.024463486078196255,3344.8435244996176,996.5220849473783,5.061366347726949
24,15,morning,1,1030,49725.0,64017.59378524714,0.1524651845613587,0.09364225876959686,0.05882292579176186,8042.740997656016,9215.934972375873,7.959673673925903
25,15,morning,3,275,19150.0,29230.727169223646,0.059991845705025026,0.04275748518112408,0.01723436052390095,2356.419645711929,18443.619660275886,12.40472053541735
26,15,morning,2,100,7175.0,5424.52218193605,0.01810141916447882,0.007934764176958707,0.010166654987520111,1390.0664031336498,150.9660208916771,3.9023475207425053
27,15,morning,9,260,8625.0,11279.727889598133,0.04047242935725437,0.01649951420279407,0.0239729151544603,3277.768743239048,794.416572496715,3.4412824006771308
28,15,morning,14,20,1725.0,1538.703163465729,0.00412759604709612,0.0022507506340555396,0.0018768454130405805,256.6173196342125,48.61345008305908,5.99610020733997
29,15,morning,11,5,25.0,10.763668899172018,0.0002760977152710645,1.5744644694827715e-05,0.00026035307057623676,35.5975546337477,0.5716612295234272,0.30237101986122644
30,20,morning,5,2212,77660.0,121689.6888496335,0.3422137010975421,0.1780025873992649,0.16421111369827723,22452.25715373805,10718.897913561423,5.419931190720997
31,20,morning,6,1028,51480.0,52780.94164268327,0.1551501432188598,0.07720575396799947,0.07794438925086034,10657.180453491632,3731.34300959755,4.952617802900255
